side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,58010000.0,1,1,30000144,1044752365771,90,2025-11-11T12:26:02Z,7070256316,1,1
buy,58000000.0,1,1,30000142,60003760,90,2025-11-08T11:58:36Z,7180925141,1,station
buy,56750000.0,1,1,30000144,1042508032148,90,2025-11-06T09:48:04Z,7166801561,1,40
buy,499900.0,1,1,30000142,60003760,90,2025-10-10T18:23:03Z,7159304007,1,region
sell,299300000.0,1,1,30000142,60003760,90,2025-11-15T17:40:24Z,7186810559,1,region
sell,299500000.0,1,1,30000142,60003760,90,2025-11-07T19:00:22Z,7180410693,1,region
sell,300000000.0,1,1,30000142,60003760,90,2025-11-07T08:12:22Z,7180074268,1,region
sell,400000000.0,3,3,30000142,60003760,30,2025-11-01T23:12:46Z,7154810864,1,region
sell,459800000.0,1,1,30000142,60003760,90,2025-10-25T16:30:34Z,7147144345,1,region
sell,459900000.0,1,1,30000142,60003760,90,2025-10-19T05:57:42Z,7165715237,1,region
sell,460000000.0,1,1,30000142,60003760,90,2025-10-16T10:22:22Z,7163625137,1,region
sell,517000000.0,1,1,30000142,60003760,90,2025-09-08T18:55:34Z,7137903874,1,region
